ChargeGroup,ChargeGroupShort
MURDER,MURDER
DRUGS,DRUGS
ENDANGERMENT,ENDANGERMENT
DV PROTECTIVE ORDER,DV PRO. ORD.
FORGERY,FORGERY
HINDERING/INTIMIDATING,INTIMIDATING
THEFT,THEFT
NON SUPPORT,NON SUPPORT
PROBATION/PAROLE VIOLATION,PROB/PRLE VIO.
KIDNAPPING,KIDNAPPING
ROBBERY,ROBBERY
TRAFFIC,TRAFFIC
GENERAL MISDEMEANOR,GEN MISDEM.
ASSAULT,ASSAULT
CUSTODIAL INTERFERENCE,CUST. INTERF.
TERORISTIC THREATS,TERRORIS. THREATS
CRIMINAL MISCHIEF,CRIM. MISCHIEF
GENERAL FELONY,GEN FEL.
ELUDING,ELUDING
TRESPASSING,TRESPASSING
CONTEMPT OF COURT,CON. OF COURT
WEAPONS,WEAPONS
ORDINANCE VIOLATIONS,ORDIN. VIO.
DUI,DUI
VIOL CONDITION OF RELEASE,VIOL COND. OF REL.
LOITERING,LOITERING
BAIL JUMPING,BAIL JUMPING
FUGITIVE ESCAPE,FUGITIVE ESCAPE
ORGANIZED CRIME,ORGANIZED CRIME
SEXUAL ABUSE,SEXUAL ABUSE
DISTURBING THE PEACE,DIST. PEACE
ARSON,ARSON
FRAUD,FRAUD
WARRANT,WARRANT
ALCOHOL,ALCOHOL
OTHER,OTHER
MENACING,MENACING
SHOCK PROBATION,SHOCK PROB.
RAPE,RAPE
ABUSE NEGLECT,ABUSE NEG.
DISORDERLY CONDUCT,DISORD. COND.
PROSTITUTION,PROSTITUTION
PROBATION/PAROLE VIOLATION MIS,PROB/PRLE VIO. MIS
FLAGRANT NON SUPPORT,FLAG. NON SUPPOT
ANIMALS,ANIMALS
HUNTING AND FISHING,HUNT/FISH
VOYERISM,VOYERISM
STALKING,STALKING
SEX OFFENDER,SEX OFFENDER
BRIBERY,BRIBERY
GAMBLING,GAMBLING
HARASSMENT,HARASSMENT
INDECENT EXPOSURE,INDEC EXP.
ELUDING/RESISTING,RESISTING
BURGLARY,BURGLARY
FUGITIVE/ESCAPE,ESCAPE
FELONY PROMOTING CONTRABAND,FEL PROMOT. CONTRIB.
PORNOGRAPHY,PORNOGRAPHY
FELONY FRAUD,FELONY FRAUD
VIOL CONDITIONAL RELEASE,VIOL COND. OF REL.
ABUSE/NEGLECT,ABUSE NEG.
PROMOTING CONTRABAND,PROMOTING CON.
CHILD ENDANGERMENT,CHILD ENDANG.
PROMOTING CONTRA BAND,PROMOTING CON.
FELONY OTHER,FEL OTHER
